Wed Aug 23 21:50:17 EDT 2017      24.08       57.90
Wed Aug 23 21:55:01 EDT 2017      24.10       58.90
Wed Aug 23 22:00:17 EDT 2017      24.08       58.20
Wed Aug 23 22:05:01 EDT 2017      23.96       57.70
Wed Aug 23 22:10:16 EDT 2017     Failed      Failed
Wed Aug 23 22:15:01 EDT 2017      23.94       56.90
Wed Aug 23 22:20:17 EDT 2017      23.70       56.00
Wed Aug 23 22:25:01 EDT 2017      23.92       56.20
Wed Aug 23 22:30:18 EDT 2017     Failed      Failed
Wed Aug 23 22:35:17 EDT 2017     Failed      Failed
Wed Aug 23 22:40:17 EDT 2017      24.09       58.50
Wed Aug 23 22:45:17 EDT 2017      23.97       58.20
Wed Aug 23 22:50:17 EDT 2017      23.97       58.20
Wed Aug 23 22:55:16 EDT 2017      23.83       56.80
Wed Aug 23 23:00:16 EDT 2017      23.84       57.40
Wed Aug 23 23:05:03 EDT 2017      23.82       56.50
Wed Aug 23 23:10:17 EDT 2017      23.83       56.80
Wed Aug 23 23:15:17 EDT 2017      23.83       56.80
Wed Aug 23 23:20:17 EDT 2017      23.73       57.10
Wed Aug 23 23:25:17 EDT 2017      23.72       56.80
Wed Aug 23 23:30:17 EDT 2017      23.75       58.00
Wed Aug 23 23:35:16 EDT 2017      23.84       57.30
Wed Aug 23 23:40:17 EDT 2017     Failed      Failed
Wed Aug 23 23:45:17 EDT 2017      23.22       54.60
Wed Aug 23 23:50:17 EDT 2017     Failed      Failed
Wed Aug 23 23:55:19 EDT 2017      23.12       54.80
Thu Aug 24 00:00:17 EDT 2017      23.22       54.40
Thu Aug 24 00:05:17 EDT 2017      23.21       54.30
Thu Aug 24 00:10:17 EDT 2017      22.99       54.30
Thu Aug 24 00:15:17 EDT 2017     Failed      Failed
Thu Aug 24 00:20:17 EDT 2017      22.90       54.80
Thu Aug 24 00:25:18 EDT 2017      22.89       54.70
Thu Aug 24 00:30:17 EDT 2017      22.66       54.30
Thu Aug 24 00:35:16 EDT 2017      22.57       54.90
Thu Aug 24 00:40:02 EDT 2017      22.68       54.90
Thu Aug 24 00:45:01 EDT 2017      22.56       54.50
Thu Aug 24 00:50:17 EDT 2017      22.45       54.60
Thu Aug 24 00:55:01 EDT 2017      22.46       54.80
Thu Aug 24 01:00:19 EDT 2017      22.36       55.30
Thu Aug 24 01:05:02 EDT 2017      22.23       54.60
Thu Aug 24 01:10:03 EDT 2017      22.24       54.90
Thu Aug 24 01:15:18 EDT 2017      22.35       55.10
Thu Aug 24 01:20:01 EDT 2017      22.26       55.70
Thu Aug 24 01:25:17 EDT 2017      22.24       54.90
Thu Aug 24 01:30:01 EDT 2017      22.24       54.90
Thu Aug 24 01:35:17 EDT 2017      22.12       54.70
Thu Aug 24 01:40:01 EDT 2017      22.13       54.90
Thu Aug 24 01:45:17 EDT 2017     Failed      Failed
Thu Aug 24 01:50:02 EDT 2017      21.80       54.80
Thu Aug 24 01:55:16 EDT 2017     Failed      Failed
Thu Aug 24 02:00:02 EDT 2017      21.37       55.20
Thu Aug 24 02:05:17 EDT 2017      21.25       55.10
Thu Aug 24 02:10:18 EDT 2017      20.91       54.70
Thu Aug 24 02:15:17 EDT 2017     Failed      Failed
Thu Aug 24 02:20:17 EDT 2017      20.70       55.00
Thu Aug 24 02:25:17 EDT 2017      20.59       54.90
Thu Aug 24 02:30:17 EDT 2017      20.50       55.60
Thu Aug 24 02:35:16 EDT 2017      20.48       55.00
Thu Aug 24 02:40:17 EDT 2017      20.48       55.10
Thu Aug 24 02:45:17 EDT 2017      20.26       55.10
Thu Aug 24 02:50:16 EDT 2017      20.17       55.80
Thu Aug 24 02:55:16 EDT 2017      20.39       55.60
Thu Aug 24 03:00:17 EDT 2017     Failed      Failed
Thu Aug 24 03:05:17 EDT 2017      20.50       55.70
Thu Aug 24 03:10:09 EDT 2017      20.05       55.50
Thu Aug 24 03:15:17 EDT 2017      19.96       56.10
Thu Aug 24 03:20:17 EDT 2017     Failed      Failed
Thu Aug 24 03:25:17 EDT 2017      20.08       56.40
Thu Aug 24 03:30:16 EDT 2017      19.96       56.00
Thu Aug 24 03:35:16 EDT 2017      19.97       56.40
Thu Aug 24 03:40:17 EDT 2017      20.07       56.20
Thu Aug 24 03:45:17 EDT 2017      19.97       56.40
Thu Aug 24 03:50:17 EDT 2017      20.08       56.40
Thu Aug 24 03:55:17 EDT 2017      19.86       56.30
Thu Aug 24 04:00:16 EDT 2017      19.97       56.30
Thu Aug 24 04:05:16 EDT 2017      20.08       56.30
Thu Aug 24 04:10:17 EDT 2017     Failed      Failed
Thu Aug 24 04:15:01 EDT 2017      20.07       56.20
Thu Aug 24 04:20:17 EDT 2017      20.19       56.30
Thu Aug 24 04:25:01 EDT 2017      20.19       56.60
Thu Aug 24 04:30:17 EDT 2017      20.07       56.20
Thu Aug 24 04:35:02 EDT 2017      20.19       56.50
Thu Aug 24 04:40:17 EDT 2017      20.20       56.80
Thu Aug 24 04:45:01 EDT 2017      20.20       56.70
Thu Aug 24 04:50:17 EDT 2017     Failed      Failed
Thu Aug 24 04:55:01 EDT 2017      20.10       57.30
Thu Aug 24 05:00:17 EDT 2017      20.20       56.90
Thu Aug 24 05:05:02 EDT 2017      20.31       56.70
Thu Aug 24 05:10:17 EDT 2017     Failed      Failed
Thu Aug 24 05:15:01 EDT 2017      20.08       56.40
Thu Aug 24 05:20:17 EDT 2017      19.87       56.70
Thu Aug 24 05:25:02 EDT 2017      19.98       56.80
Thu Aug 24 05:30:16 EDT 2017     Failed      Failed
Thu Aug 24 05:35:01 EDT 2017      20.09       56.80
Thu Aug 24 05:40:17 EDT 2017      20.08       56.50
Thu Aug 24 05:45:17 EDT 2017      20.32       57.30
Thu Aug 24 05:50:17 EDT 2017      20.21       57.30
Thu Aug 24 05:55:16 EDT 2017      20.32       57.20
Thu Aug 24 06:00:17 EDT 2017      20.32       57.40
Thu Aug 24 06:05:17 EDT 2017     Failed      Failed
Thu Aug 24 06:10:17 EDT 2017      20.43       57.40
Thu Aug 24 06:15:17 EDT 2017     Failed      Failed
Thu Aug 24 06:20:17 EDT 2017      20.43       57.30
Thu Aug 24 06:25:17 EDT 2017      20.54       57.30
Thu Aug 24 06:30:16 EDT 2017      20.54       57.30
Thu Aug 24 06:35:17 EDT 2017      20.55       57.60
Thu Aug 24 06:40:16 EDT 2017      20.55       57.60
Thu Aug 24 06:45:16 EDT 2017      20.42       56.90
Thu Aug 24 06:50:17 EDT 2017     Failed      Failed
Thu Aug 24 06:55:17 EDT 2017      20.32       57.20
Thu Aug 24 07:00:17 EDT 2017      20.33       57.60
Thu Aug 24 07:05:17 EDT 2017      20.22       57.70
Thu Aug 24 07:10:17 EDT 2017      20.57       58.20
Thu Aug 24 07:15:02 EDT 2017      20.57       58.20
Thu Aug 24 07:20:17 EDT 2017      20.69       58.70
Thu Aug 24 07:25:17 EDT 2017      20.69       58.60
Thu Aug 24 07:30:17 EDT 2017      21.12       58.30
Thu Aug 24 07:35:17 EDT 2017      21.02       58.70
Thu Aug 24 07:40:17 EDT 2017      21.02       58.80
Thu Aug 24 07:45:17 EDT 2017      21.02       58.80
Thu Aug 24 07:50:17 EDT 2017      21.03       59.00
Thu Aug 24 07:55:01 EDT 2017      21.03       59.00
Thu Aug 24 08:00:17 EDT 2017      21.15       59.70
Thu Aug 24 08:05:01 EDT 2017      21.40       60.60
Thu Aug 24 08:10:17 EDT 2017     Failed      Failed
Thu Aug 24 08:15:01 EDT 2017     Failed      Failed
Thu Aug 24 08:20:17 EDT 2017     Failed      Failed
Thu Aug 24 08:25:01 EDT 2017     Failed      Failed
Thu Aug 24 08:30:16 EDT 2017     Failed      Failed
Thu Aug 24 08:35:02 EDT 2017     Failed      Failed
Thu Aug 24 08:40:17 EDT 2017     Failed      Failed
Thu Aug 24 08:45:02 EDT 2017     Failed      Failed
Thu Aug 24 08:50:17 EDT 2017     Failed      Failed
Thu Aug 24 08:55:01 EDT 2017     Failed      Failed
Thu Aug 24 09:00:17 EDT 2017     Failed      Failed
Thu Aug 24 09:05:01 EDT 2017     Failed      Failed
Thu Aug 24 09:10:18 EDT 2017     Failed      Failed
Thu Aug 24 09:15:01 EDT 2017     Failed      Failed
Thu Aug 24 09:20:03 EDT 2017     Failed      Failed
Thu Aug 24 09:25:16 EDT 2017     Failed      Failed
Thu Aug 24 09:30:16 EDT 2017     Failed      Failed
Thu Aug 24 09:35:17 EDT 2017     Failed      Failed
Thu Aug 24 09:40:16 EDT 2017     Failed      Failed
Thu Aug 24 09:45:17 EDT 2017     Failed      Failed
Thu Aug 24 09:50:17 EDT 2017     Failed      Failed
Thu Aug 24 09:55:18 EDT 2017     Failed      Failed
Thu Aug 24 10:00:17 EDT 2017     Failed      Failed
Thu Aug 24 10:05:16 EDT 2017     Failed      Failed
Thu Aug 24 10:10:17 EDT 2017     Failed      Failed
Thu Aug 24 10:15:17 EDT 2017     Failed      Failed
Thu Aug 24 10:20:17 EDT 2017      22.03       63.60
Thu Aug 24 10:25:16 EDT 2017     Failed      Failed
Thu Aug 24 10:30:18 EDT 2017     Failed      Failed
Thu Aug 24 10:35:17 EDT 2017      22.12       63.00
Thu Aug 24 10:40:16 EDT 2017      22.23       62.80
Thu Aug 24 10:45:17 EDT 2017      22.22       62.70
Thu Aug 24 10:50:17 EDT 2017      22.22       62.50
Thu Aug 24 10:55:17 EDT 2017      22.21       62.30
Thu Aug 24 11:00:17 EDT 2017      22.20       61.90
Thu Aug 24 11:05:16 EDT 2017      22.32       62.40
Thu Aug 24 11:10:17 EDT 2017      22.32       62.10
Thu Aug 24 11:15:16 EDT 2017      22.32       62.40
Thu Aug 24 11:20:08 EDT 2017      22.43       62.20
Thu Aug 24 11:25:17 EDT 2017      22.44       62.50
Thu Aug 24 11:30:01 EDT 2017      22.43       62.20
Thu Aug 24 11:35:17 EDT 2017      22.47       63.60
Thu Aug 24 11:40:01 EDT 2017      22.45       62.80
Thu Aug 24 11:45:18 EDT 2017      22.54       62.40
Thu Aug 24 11:50:02 EDT 2017      22.54       62.30
Thu Aug 24 11:55:16 EDT 2017      22.52       61.30
Thu Aug 24 12:00:02 EDT 2017      22.53       61.80
Thu Aug 24 12:05:17 EDT 2017      22.64       62.00
Thu Aug 24 12:10:02 EDT 2017      22.64       61.90
Thu Aug 24 12:15:17 EDT 2017      22.63       61.50
Thu Aug 24 12:20:01 EDT 2017      22.63       61.60
Thu Aug 24 12:25:17 EDT 2017     Failed      Failed
Thu Aug 24 12:30:01 EDT 2017      22.74       61.30
Thu Aug 24 12:35:17 EDT 2017      22.74       61.40
Thu Aug 24 12:40:01 EDT 2017      22.73       61.10
Thu Aug 24 12:45:17 EDT 2017      22.73       60.90
Thu Aug 24 12:50:01 EDT 2017      22.84       61.00
Thu Aug 24 12:55:17 EDT 2017      22.84       61.00
Thu Aug 24 13:00:17 EDT 2017     Failed      Failed
Thu Aug 24 13:05:17 EDT 2017      22.84       61.20
Thu Aug 24 13:10:17 EDT 2017     Failed      Failed
Thu Aug 24 13:15:17 EDT 2017      22.75       61.90
Thu Aug 24 13:20:08 EDT 2017      22.72       60.80
Thu Aug 24 13:25:17 EDT 2017      22.85       61.30
Thu Aug 24 13:30:17 EDT 2017     Failed      Failed
Thu Aug 24 13:35:17 EDT 2017      23.05       60.60
Thu Aug 24 13:40:17 EDT 2017      23.05       60.80
Thu Aug 24 13:45:17 EDT 2017      23.05       60.50
Thu Aug 24 13:50:17 EDT 2017     Failed      Failed
